dialect,standard
분래하다,분란하다
분산하다,부산하다
불구룸하다,불그름하다
불구리하다,불그레하다
불구무리하다,볼그무레하다
불구수룸하다,볼그스름하다
불구쭉쭉하다,불그죽죽하다
불그리하다,불그레하다
불펜시럽다,불편스럽다
불래하다,분란하다
불멩예시럽다,불명예스럽다
불펜하다,불편하다
불펭시럽다,불평스럽다
불케하다,불쾌하다
붋다,부럽다
붑다,부럽다
비리하다,비릿하다
비수룸하다,비스름하다
비수무리하다,비스름하다
비스무리하다,비스름하다
비스무레하다,비스름하다
비식하다,비슥하다
비엇하다,비슷하다
비우겉다,비호같다
빠꿈하다,빠끔하다
뽈촉시럽다,유별스럽다
빠리빠리하다,빠릿빠릿하다
빠사거리하다,빠삭하다
빼뜨름하다,빼뚜름하다
빨빨하다,빳빳하다
빩다,빨갛다
뺀들뺀들하다,반드럽다
뺀지거리하다,반지르르하다
뻘갛다,뻘겋다
뻬식하다,비슥하다
뽀독하다,빠듯하다
잔방궂다,잔망스럽다
뽁닥하다,발그스름하다
뽈갛다,빨갛다
뿍줌하다,뿔그레하다
뿔구무리하다,뿔그스레하다
뿔쌍하다,불쌍하다
뿔쌍허다,불쌍하다
삐드거리하다,거의 마르다
삐땍하다,삐딱하다
삐알지다,비탈지다
삙다,빨갛다
기물시럽다,귀물스럽다
태펭하다,태평하다
텁수리하다,텁수룩하다
텁시부리하다,터부룩하다
텍없다,턱없다
투쿠다,굵다
투크다,굵다
툭지기다,굵다
툭하다,굵다
퍼리다,퍼렇다
펜안하다,편안하다
펭펭하다,평평하다
펭범하다,평범하다
펭온하다,평온하다
펭이하다,평이하다
포람하다,잔잔하다
포로수룸하다,파르스름하다
포롬하다,파릇하다
폭닥하다,포근하다
하아허다,하얗다
하이허다,하얗다
하잖다,언짢다
하핳다,하얗다
한갓대잖다,한결같지 아니하다
한정없다,한없다
한하다,환하다
항거석이다,가득하다
항거차다,가득하다
항게차다,가득하다
해꼽다,가볍다
해꿉다,가볍다
행맑다,해맑다
향기하다,향기롭다
허껍다,가볍다
허뿌다,허하다
허숭하다,허전하다
헌하다,훤하다
헐출하다,출출하다
헗다,헐겁다
헤꿉하다,가볍다
헤뿌다,헤프다
헤일스럽다,변덕스럽다
헤한하다,희한하다
호답하다,오붓하다
회둥그렇다,회동그랗다
후둑후둑하다,후덥지근하다
후안하다,환하다
훈출하다,훤칠하다
희붓하다,희번하다
히뿌다,헤프다
자갑다,간지럽다
자고맨하다,자그마하다
자그만하다,자그마하다
자르다,잘다
자리다,잘다
자잔하다,자잘하다
잔조롬하다,가지런하다
잘쫌하다,걀쯤하다
잡다,짜다
잦방하다,잦바듬하다
재거랍다,간지럽다
재거럽다,간지럽다
재구랍다,간지럽다
재그럽다,가렵다
재리다,저리다
가신하다,아슬하다
재우뚱하다,갸우뚱하다
재작시럽다,장난스럽다
잴숨하다,갸름하다
술찮다,수월찮다
저럽다,저리다
소물다,배다
소잡다,비좁다
속닥하다,오붓하다
손숩다,손쉽다
송실받다,어수선하다
솔직하다,좁직하다
송시럽다,시끄럽다
게덕시럽다,괴덕스럽다
수비다,쉽다
수악하다,흉악하다
숭악하다, 흉악하다
수울하다,수월하다
숙다,쉽다
술타,수월하다
수울타,수월하다
숭물시럽다,흉물스럽다
숭측하다,흉측하다
시거럽다,시다
시그럽다,시다
씨그럽다,시다
쎄그럽다,시다
시걸푸다,서글프다
시겁다,쓰다
시구룹다,시다
시금뻘적하다,시금떨떨하다
시상없다,세상없다
시꺼뭏다,시꺼멓다
시꾸룸하다,시무룩하다
시불퉁하다,시무룩하다
시럽다,시리다
시운하다,시원하다
시커뭏다,시커멓다
시컴하다,시커멓다
괘상하다,괴상하다
괴럽다,괴롭다
괴않다,괜찮다
개안타,괜찮다
구부덩하다,구부정하다
구숙지다,구석지다
구지리하다,구지레하다
굴쭉시럽다,별쭝스레
궁벡시럽다,궁벽스럽다
궁벡하다,궁벽하다
게팍시럽다,괴팍스럽다
근거럽다,근질거리다
근지럽다,근질거리다
근탐내다,간탐하다
근질다,긁다
기꿈하다,꺼림하다
기덕시럽다,귀염성스럽다
기럽다,그립다
기뿌다,기쁘다
기염상시럽다,귀염성스럽다
기인상시럽다,귀인상스럽다
기인성시럽다,귀인성스럽다
기중하다,귀중하다
기찬시럽다,귀찮다
가감시럽다,과감스럽다
가감하다,과감하다
가갑다,가깝다
가거방하다,비슷하다
가거지방하다,비슷하다
가겍하다,과격하다
과객하다,과격하다
가년하다,과년하다
가눌다,가늘다
가느다람하다,가느다랗다
가느다런하다,가느다랗다
가느다름하다,가느스름하다
가느렇다,가느다랗다
가느소롬하다,가느스름하다
가느수럼하다,가느스름하다
가랍다,가렵다
가리늦다,뒤늦다
가리방사하다,비슷하다
가리방상하다,엇비슷하다
가리방하다,비슷하다
간계없다,관계없다
가민하다,과민하다
개씸시럽다,괘씸스럽다
게팍하다,괴팍하다
가분하다,과분하다
가뿌다,가쁘다
가신가신하다,아슬아슬하다
가씬가씬하다,아슬아슬하다
가씬하다,아슬하다
가이방사하다,비슷하다
가이방상하다,비슷하다
가익다,가깝다
가잡다,가깝다
가접다,가깝다
가죽다,가깝다
가죽하다,가깝다
가줍다,가깝다
가지랍다,가렵다
가지랍다,간지럽다
가지런이허다,가지런하다
가지럼하다,가지런하다
가집다,가깝다
가짭다,가깝다
가착다,가깝다
가쳅다,가깝다
가초롬하다,가칠하다
가탐하다,간탐하다
가트다,같다
가풀다,가파르다
가푸다,가쁘다
가푸다,가파르다
가푸악지다,가풀막지다
가하다,과하다
간가랍다,가렵다
간저럽다,가렵다
근지럽다,가렵다
간저름하다,가지런하다
간조럼하다,가지런하다
간조럼허다,가지런하다
간조론하다,가지런하다
간주럼하다,가지런하다
간주렘하다,가지런하다
간주롬하다,가지런하다
간주룸하다,가지런하다
간주룸허다,가지런하다
간주름하다,가지런하다
간지란하다,가지런하다
간지런하다,가지런하다
간지럼하다,가지런하다
간지롬하다,가지런하다
간지름허다,가지런하다
감가무리하다,가마득하다
감겍시럽다,감격스럽다
강가무리하다,약간 간간하다
강그럽다,간지럽다
강범이하다,광범위하다
강하다,사납다
개깹다,가깝다
개끕다,가깝다
개덕시럽다,변덕스럽다
개리다,구리다
개반하다,개운하다
깨반하다,개운하다
개법다,가볍다
개분하다,개운하다
개뿐하다,가뿐하다
개안하다,개운하다
개적다,가깝다
개접다,가깝다
개죽다,가깝다
개죽하다,가직하다
개코겉다,개코같다
개하다,귀하다
객강시럽다,객스럽다
얄구지럽다,얄궂다
거겁다,가볍다
거너수룸하다,가느스름하다
거무리하다,거무레하다
거시다,거세다
거치장시럽다,거추장스럽다
거탐하다,간탐하다
건거추룸하다,거무추레하다
건주럼하다,가지런하다
검푸다,많다
겅그럽다,가렵다
게리다,가리다
게랍다,괴롭다
게럽다,괴롭다
게상망칙하다,괴상망측하다
게슴치리하다,거슴츠레하다
겡미하다,경미하다
겡악시럽다,경악스럽다
게을받다,게으르다
게을타,게으르다
게쭐시럽다,괴팍스럽다
겍하다,격하다
겔다,게으르다
겜손시럽다,겸손스럽다
겔받다,게으르다
겡망시럽다,경망스럽다
겡사시럽다,경사스럽다
겡장시럽다,굉장스럽다
고고파다,가파르다
