dialect,standard
분부이,분히
불각시리,갑자기
불구룸이,불그름히
불구수룸이,볼그스름히
불구쭉쭉이,불그죽죽히
불로,부러
불썩,불쑥
불씩,불쑥
불촉시리,별스레
틸틸,툴툴
비미,어련히
비미이,어련히
비식이,비슥이
비우겉이,비호같이
빠꼼이,빠끔히
빠꿈이,빠끔히
빠꿈히,빠끔히
빤이,빤히
빼짝,바싹
뻐꿈이,뻐끔히
뻐덕하면,걸핏하면
뻐덕하모,걸핏하면
뻐떡하먼,걸핏하면
뻐떡하모,걸핏하면
뻐떡하몬,걸핏하면
뻐떡하문,걸핏하면
뻔이,뻔히
빤히,뻔히
뻴쭉시리,별스레
뽀곡뽀곡,개굴개굴
뽀도시,겨우
뽀두둑,뽀도독
뽀드시,겨우
뽀듯이,빠듯이
뽈쪽시리,별스레
뿔축시리,별스레
뿌시기,부스스
뿌시시,부스스
삐덕하문,걸핏하면
삐뜩하면,걸핏하면
사사로,사사로이
사살,살살
삭,싹
태배기로,굉장히
테베기,많이
토닥토닥,누덕누덕
퍼득,퍼뜩
티각태각,티격태격
파딱,파뜩
패내끼,빨리
페네끼,빨리
페네끼,재빨리
페이,편히
풀국풀국,뻐꾹뻐꾹
하걸없이,하릴없이
하기사,하기야
하매나,이제나저제나
하므차,혼자
하이껀,하여튼
하이컨,하여튼
하피랄,하필
한거,가뜩
한그스,한가득
한그슥,한가득
한금해야,기껏해야
한꺼분에,한꺼번에
한께,함께
한방장,한창
한매,하마
한사라꼬,한사코
한자,혼자
한정없이,한없이
한차,혼자
함부도록,함부로
함부두록,함부로
함부레,함부로
함퍽,함빡
항개,가득
항거,많이
항그,많이
항거시,많이
항그시,많이
항꾸네,함께
해나,행여나
해다나,게다가
해딱,해뜩
해이나,행여나
험뿍,흠뻑
호부,기껏
혹가다,가끔가다
혹가다가,간혹가다가
홀티리,깨끗이
홀티리,모조리
홈빡,하필
훌딱,후딱
흐이,흔히
흘썩,훨씬
흡상,흡사
히끔히끔,힐끔힐끔
자래,그저께
자래께,그저께
자레,그끄저께
자뿍,다뿍
자우뚱,갸우뚱
잘몬,잘못
재불재불,재잘재잘
저마이,저만큼
전아리,그끄저께
소안,순
솔딱,홀딱
솔랑,홀랑
솔빡,송두리째
솔빠시,고스란히
게덕시리,괴덕스레
수물수물,스멀스멀
시상없이,세상없이
시남없이,시나브로
시부죽하이,시부저기
시부지기,시부저기
시이실,슬슬
시엄시엄,쉬엄쉬엄
기염성시리,귀염성스레
구미구미,틈틈이
구숙구숙이,구석구석이
구신겉이,귀신같이
구중,가장
굴쭉시리,별쭝스레
굼턱굼턱,군데군데
굼특굼특이,샅샅이
그걸싸나,그나마
그그제,그끄저께
그그지,그끄저께
그기사,그야
그길싸나,그나마
그따나,그나마
그때사,그제야
그때서야,그제야
그라믄,그러면
그러고,그리고
그러구로,그럭저럭
그러이까,그러니까
그렁께네,그러니까
그뭇그뭇,그득그득
그아래,그끄저께
그아리,그끄저께
그제께,그저께
그제사,그제야
그지께,그저께
그지끼,그저께
그지사,그제야
그질로,그길로
그칠,그다지
근분,워낙
글케,그러게
글키,그러게
