dialect,standard
칼치,갈치
칼쿠리,갈퀴
칼크막,가풀막
칼키,갈고리
캄,고함
캐,개
캥가리,꽹과리
캥망,꽹과리
캥상,꽹과리
캥세째기,꽹과리
캥수,꽹과리
케끼리,코끼리
케키리,코끼리
코건티,콧등
마시,마수
코꺼불,코털
코꼬무신,코고무신
코꼿,코털
코꾼다리,코뚜레
코납잭이,코납작이
큰메누리,큰며느리
큰아부이,큰아버지
코마,팽이
코먹재이,코맹맹이
코빼이,코빼기
코뻬,코뼈
코수엄,콧수염
코수엠,콧수염
코짱배기,코쭝배기
코치기,자치기
코터래기,코털
코터러기,코털
코터리,코털
코터리기,코털
콧잔디,콧잔등
콧구뭉,콧구멍
콧구뭉터레기,코털
콧구융,콧구멍
콧귕기,콧구멍
콧등더리,콧등
콧방맹이,코맹맹이
콧시염,콧수염
콩가리,콩가루
콩간장,조선간장
콩국시,콩국수
콩깍대이,콩깍지
콩깍데기,콩깍지
콩깍데이,콩깍지
콩껍데이,콩깍지
콩껍디,콩깍지
콩껍디기,콩깍지
콩껍질,콩깍지
콩돌,공깃돌
콩돌줍기,공기놀이
콩슴,콩깍지
콩장,조선간장
콩지름,콩기름
콩지름국,콩나물국
콩지름밥,콩나물밥
콩집개,공기놀이
콩폿,콩팥
콩퐅,콩팥
콱백이춤,덧보기춤
쾨,코
쾨코리,코끼리
쿠룽내,구린내
진침,긴바늘
쿨내,쿠린내
쿵자,뱀장어
크르미,꾸러미
큰다풀,끈
큰때,자치기할때쓰는긴막대기
큰마누래,본마누라
큰물,시내
큰봉,산마루
큰새비,큰새우
큰새이,둘이상의형가운데맏이인형
큰서리,번지
큰시누부,큰시누
큰아,큰아이
큰아저씨,아주버니
큰아제씨,아주버니
큰자,자치기할때쓰는긴막대기
큰어마,큰어머니
큰지침,큰기침
큰홅께,벼훑이
클매,큰어머니
키다리밀,귀리
키큰밀,귀리
타락새끼,삼줄
타래못,나사못
타레박,두레박
타루게,탯자리개
타르박,두레박
타르박새미,두레우물
타리박,두레박
타마,구슬
타방,타박
타시마,다시마
탁주배기,막걸리
탈바가치,탈바가지
마른베락,마른벼락
마구문,외양간
마구장,호주머니
마구잽이,마구잡이
마구체,외양간두엄
마꼴,마른풀
마날,마늘
마너래,마누라
마는질,마름질
마늘꽁다리,마늘종
마늘이파리,마늘잎
마늘지,마늘장아찌
마늘쫑,마늘종
마단무리,욕심쟁이
마당빗자리,마당비
마당세,마당쇠
마더리,마투리
마들가리,멍울
마디미,마중
마때,자치기
막내메누리,막내며느리
마레,잠자리
마루테기,마루터기
막내메느리,막내며느리
막내사오,막냇사위
마른가지,삭정이
마른게기,마른고기
막내사우,막냇사위
마른국시,마른국수
마른매짐,마른버짐
마른바가치,마른바가지
마른버슴,마른버짐
마른서리,마른써레
마른서리질,마른써레질
마른행지포,마른행주
마른행지피,마른행주
막내사이,막냇사위
막내삼촌,막냇삼촌
마리껄,마루
막내손주,막냇손자
마리청,마루
마린버심,마른버짐
마매,마개
마릿딩이,모루
마릿바닥,마룻바닥
마릿방,마루방
마물세,자물쇠
마발떼,갈퀴
막내손지,막냇손자
막내숙부,막냇삼촌
마음벵,심병
마음시,마음씨
마이,재킷
마작,넉동
마작세이,넉동
마재비,마중
마지매,마중
마지미,마중
마지배,마중
마지비,마중
마짐,마중
마체,모루채
막내이,막내
막대꼬쟁이,막대꼬지
막대치기,자치기
막덴넘,막된놈
막동사이,막동
막뒤,막내
막디이,막둥이
막딩이,막둥이
막장,쌈장
막제비,수제비
막족,마지막
막죽,마지막
막짐사리,넉동사니
막짐사이,막동
막쪽,마지막
막통,망통
만구,만고
만구강산,만고강산
만대,만성
만대이,마루
만디,마루
만물,샘
만성벵,만성병
만시이,만신
만하,만화
만하겡,만화경
만하방,만화방
만하책,만화책
만치,만취
만헤,만회
맏동시,맏동서
맏메누리,맏며느리
맏사오,맏사위
맏사이,맏사위
맏손주,맏손자
