dialect,standard
들통시,뒷간
등짐재이,등짐장이
듬벙,웅덩이
듬북,웅덩이
듬서리,벼랑
등짐쟁이,등짐장이
등골뻬,등골뼈
등껍데기,등껍질
등껍디,등껍질
등꽁,등
등날빼이,등성이
등다리,등
등덜빼이,등때기
등도리,등
등떼,밭두둑
등말,등목
등바니,살강
등보리,두둑보리
등빨,등판
등빨,덩치
등뻬,등뼈
등사디뻬,등골뼈
등사뼈,등골뼈
등산하,등산화
등시이,바보
등어리,등
등잔디이,등
등지개,등거리
등짱,등짝
등드리,등
등풀,검불
디굼치,뒤꿈치
딧보게토,뒷주머니
디꼬마리,뒤꿈치
디꼬마치,뒤꿈치
디꼬모치,뒤꿈치
디꼭대이,뒤통수
디꼭디,뒤통수
디꼭디기,뒤통수
디꽁치,뒤꿈치
디꾸모치,뒤꿈치
디꾸무리,뒤꿈치
디꾸무치,뒤꿈치
디끌,티끌
디끌,디귿
디끔치,뒤꿈치
디덕,더덕
디디이,두더지
디딜바아,디딜방아
디딜바앗간,디딜방앗간
디딜방우,디딜방아
벵대,병사
딧고생,뒷고생
디릴사우,데릴사위
디배이,되
디비개,뒤집개
디안,뒤꼍
디안,뒤란
디이,덩지
디이,덩이
디장국,된장국
디죽박죽,뒤죽박죽
디지,두더지
디지개,기지개
디지깨,기지개
디집개,뒤집개
디집기,뒤집기
디짱구,뒤짱구
디쩍,뒤축
디찌개,뒷짐
디창,뒤창
디창,뒤창
디채,뒤채
디치미,퇴침
디쿠마리때,도꼬마리
디틀림,뒤틀림
디통시,뒤통수
디틀미,뒷덜미
디풀이,뒤풀이
딧불,뒷불
끝동상,막냇동생
딧골,뒷골
딧가르매,뒷가르마
딧간,뒷간
딧갈이,뒷갈이
딧거래,뒷거래
딧거래꾼,뒷거래꾼
딧거리,뒷거리
딧걱정,뒷걱정
딧구녕,뒷구멍
딧구무,뒷구멍
딧구뭉,뒷구멍
딧꼭대기,뒤통수
딧날,뒷날
딧날개,뒷날개
딧논,뒷논
딧덜미,뒷덜미
딧도랑,뒷도랑
딧동네,뒷동네
딧동산,뒷동산
딧마을,뒷마을
딧머리뻬,뒷머리뼈
딧멘,뒷면
딧모간지,뒷덜미
딧모습,뒷모습
딧모양,뒷모양
딧무릅,뒷무릎
딧무릅치기,뒷무릎 치기
딧바닥,뒷바닥
딧잔등,등
딧정리,뒷정리
딧주무이,뒷주머니
딧줄,뒷줄
딧지께,뒷짐
딧지께질,뒷짐질
딧짐질,뒷짐질
딧차,뒤차
딩게,등겨
딩기,겨
딩기죽,겨죽
딩깃불,겻불
딩깃섬,등겻섬
따거뱅이,뚜껑
따구,뺨따귀
따구리,다구리
따그뱅이,뚜껑
따까리,딱지
따까리,바구니
따꺼베이,뚜껑
따깍질,딸꾹질
따께칼,접칼
따더미질,다듬이질
따드메,다듬이질
따드멧돌,다듬잇돌
따듬개질,다듬이질
따듬돌,다듬잇돌
따듬이,다듬이질
따디미,다듬이
따듬질,다듬이질
따듬질,다듬질
따디미,다듬이질
따디미돌,다듬잇돌
따디미방맹이,다듬잇방망이
따디밋독,다듬잇돌
따딤,다듬이질
따딤독,다듬잇돌
따딤돌,다듬잇돌
따딤방마이,다듬잇방망이
따딤방매이,다듬잇방망이
따딤이질,다듬이질
따딤잇감,다듬잇감
따딤잇돌,다듬잇돌
따래시,방아깨비
따레비,똬리
따리,키
따미뜨레이,땀띠
따반지,똬리
따방구,똬리
따부리,투레질
따배이감,납작감
따부,쟁기
따부,보습
따부날,보습
따부세,보습
따부이,보습
따부일,쟁기질
따신밥,더운밥
따욱새,따오기
따운,다운
따이,땅
따이빙,다이빙
따이빙대,다이빙대
딱나무,닥나무
딱단추,똑딱단추
떡바앗간,떡집
딱때구리,딱따구리
딴,동안
딱분,가루분
딱지벌레,딱정벌레
딱지벌리,딱정벌레
딱지칼,주머니칼
딱지포,우표딱지
딲이,닦이
딸구,달구
딸각질,딸꾹질
딸꾸,달구
딸딸이,짤짤이
딸내,딸내미
딸따니,방아깨비
딸따리,나막신
딸따리꼼보,곰보
딸딸이,슬리퍼
딸랑까시,아그배
땀구녕,땀구멍
땀구무,땀구멍
딸상디이,쌍둥이 딸
땀구뭉,땀구멍
딸아,딸아이
딸음박질,달음박질
딸자석,딸자식
땀,뜸
땀따레기,땀띠
땀따레이,땀띠
땀때,땀띠
땀때기,땀띠
땀떼기,땀띠
땀떼기약,땀띠약
땀뚜드레이,땀띠
땀뜨래이,땀띠
땀뜨레이,땀띠
땀뜨리기,땀띠
땀띠레기,땀띠
땃,닻
땅가비,조가비
땅감자,감자
땅갑지,조가비
땅갑치,조가비
땅갑치,뚜껑
땅끔,땅띔
땅개비,방아깨비
땅개비,조가비
땅까시열매,아그배
땅깔,땅꽈리
땅깔나무,땅꽈리
땅나구께,재주
땅덩거리,땅덩어리
땅따묵기,땅뺏기
땅때기,땅뙈기
땅띠이,땅덩이
땅박닥,땅바닥
땅불,도깨비불
땅중오,잠방이
땅짐,땅거미
땅콩깡장,땅콩강정
땇,닻
땇줄,닻줄
때,도
때기,딱지
때국밀,귀리
때꺼리,끼닛거리
때기,뙈기
때기따묵기,딱지치기
때기장,태질
때기질,태질
때기치기,딱지치기
때기칼,주머니칼
때까리,끼닛거리
때까리,뚜껑
떠꺼배이,뚜껑
떠꺼벙,뚜껑
때꼽재이,때꼽재기
때끈불,티끌
때끼칼,주머니칼
때이,땡
떠꿍,뚜껑
뜨꿍,뚜껑
뚜끙,뚜껑
때때재이,방아깨비
때때쟁이,방아깨비
때바구니,똬리
때짱,띠
때바리,똬리
때방구,똬리
때배이,똬리
떠끄리,뚜껑
때자구,땟자국
때추,대추
때추나무,대추나무
때추씨,대추씨
때추차,대추차
땍때구리,방아깨비
땍때구리,딱따구리
땟물자국,땟자국
땟물자죽,땟자국
땜띠,땀띠
땜쟁이,땜장이
땟가리,땟거리
땟물,때물
땡갈,땅꽈리
땡감,땡고함
땡고집,땅고집
땡깜,땡고함
땡까리,꽈리
땡깔,꽈리
땡꼬,떼
땡꼬재이,떼쟁이
땡때이,땡땡이
땡꽐,머루
땡꽐,땅꽈리
땡바닥,땅바닥
땡벹,뙤약볕
땡보,구두쇠
땡중,땡땡이중
땡초,땡고추
땡칼,땅꽈리
떠개이,덮개
떠껑,뚜껑
떠꼬마리,도꼬마리
떠래,또래
떠들이,떠버리
떠레박,두레박
떠묵,메밀묵
떠부,두부
떠부리,투레
떡보테기,떡보
떠주리,멍청이
떡붕어,하포랑
떡갈풀,떡갈나무
떡갈풀꿀밤,수리
떡국가래,가래떡
떡꿀밤,상수리
떡꿀밤나무,상수리나무
떡뚜께비,떡두꺼비
떡무구리,떡무거리
떡바아,떡방아
떡손,떡살
떤지기,던지기
떤지깃대,긴 막대기
떡자리,떡보
떡재이,떡보
떨감,삽시
떼가부,떼과부
떰부리,덤불
떰비기,뜸부기
떼거레이,떼거리
떼거지,떼거리
떼국넘,되놈
떼국밀,귀리
떼김,꾸지람
떼까리,뚜껑
떼까리,떼거리
떼깔,떼
떼깔재이,떼쟁이
떼깔쟁이,떼쟁이
떼깡,생떼
떼배,뗏목
떼비,떼
떼악벹,뙤약볕
떼자구,때
떼짠대기,잔디
떼짠디기,잔디
뗀넘,되놈
뗏잔디,잔디
뗑꾸,떼
또깨비바늘,도깨비바늘
또다리,쪼다
또다리,똬리
또디,멍청이
또디기,바보
또딩이,멍청이
또채비,도깨비
똑딱새,딱따구리
똑떽이,똑똑이
똑똑지,깍두기
똑띠,똑똑이
똑메,독메
똑수이,또순이
똗배기,돋보기
똗베기안겡,돋보기안경
똘감,고욤
똘깨,공기놀이
똘또리,돼지
똘마이,똘마니
똣바널,돗바늘
똣바늘,돗바늘
똣발,돗바늘
똣자리,돗자리
똥가래이,다리샅
똥가리,동강이
똥가리,동가리
똥쟁이,똥싸개
똥고리,중고기
똥구당,뒷간
똥구덕,뒷간
똥구둑,똥구덩이
똥구디,똥구덩이
똥구디기,뒷간
똥구래미,동그라미
똥구뭉,똥구멍
똥딲개,똥닦개
똥구세,뒷간
똥구시,뒷간
똥굴뱅이,동그라미
똥딴지,똥항아리
똥딸배이,똥짜바리
똥기저구,기저귀
똥기제기,기저귀
똥기주개,기저귀
똥까재,물방개
똥까지,물방개
똥꾸룽내,구린내
똥꾸릉내,구린내
똥포리,똥파리
똥꿀내,구린내
똥바가치,똥바가지
똥바가치,북두칠성
똥바장,똥장군
똥살개,똥싸개
똥시깐,뒷간
뚜꾸배이,뚜껑
뚜꾸뱅이,뚜껑
똥파리,반딧불이
똥포래이,똥파리
뚜꾸베이,뚜껑
똧,돛
똧단배,돛단배
똧대,돛대
똧대,최고
똧베,돛베
뚜꾸벵이,뚜껑
뚜갈,꽈리
뚜겅,뚜껑
뚜게이,뚜껑
뚜겡이,뚜껑
뚜구비,두꺼비
뚜귀비,두꺼비
뚜기비,두꺼비
뚜꺼비집,두꺼비집
뚜께,두께
뚜께비,두꺼비
뚜께비집,두꺼비집
뚜껭,뚜껑
뚜꾸마리,둥구미
뚜꾹새,소쩍새
뚜꿉기,두께
뚜끼,두께
뚜끼비찰밥,도깨비바늘
뚜낑,뚜껑
뚜드레기,두드러기
뚜디기,포대기
뚜땀,뜰
뚜러박,두레박
뚜럼박,두레박
뚜지,뒤주
뚜방,뚜껑
뚜벙,뚜껑
뚜베이,뚜껑
뚜림박,두레박
뚜봉,뚜껑
뚜부,두부
뚝따묵기,막무가내
뚝바리,뚝배기
뚝사리,뚝배기
뚝수리,독수리
뚬벙,웅덩이
뚬벙새,뜸부기
뚬복새,뜸부기
뚬부기,뜸부기
뚬붕,웅덩이
뚬붕새,뜸부기
뚬비,뜸부기
뚬비기,뜸부기
뚬빙이,뜸부기
뚱딴지소리,뚱딴짓소리
뚱띠,뚱뚱이
뚱띠이,뚱뚱이
뚱짜,뚱뚱이
뚱퉁새,뜸부기
뛰,떼
뛰검,뜀
뛰검질,뜀박질
뛰꿈치,뒤꿈치
뜨그배이,뚜껑
뜨꺼리,뚜껑
뚜까리,뚜껑
뜨꺼븡,뚜껑
뜨께,뚜껑
뜨붕,뚜껑
뜨벙,뚜껑
뜨베이,뚜껑
뜨벵이,뚜껑
뜨부,두부
백빌탕,백비탕
뜬봉사,당달봉사
뜸베이,뜸부기
뜸붕,웅덩이
뜸붕이,뜸부기
뜸브기,뜸부기
뜸비,뜸부기
띠잔디,떼잔디
뜸비이,뜸부기
뜸빙이,뜸부기
띠기,뚜껑
띠갑장,띠동갑
띠꺼리,뚜껑
띠끼,뚜껑
띠띠빵빵,뛰뛰빵빵
띠뽀리,밴댕이
띠어스기,띄어쓰기
띠어쓰기,띄어쓰기
띠적질,뒤적질
띠지,굽도리
띠지,찌지
띠짠디,잔디
띠쪼지,생무지
띠포리,밴댕이
띠푸리,밴댕이
띰띠기,뜀뛰기
띰틀,뜀틀
띵깔,땅꽈리
띵깡,생떼
띵뽀,뚱보
배고품,배고픔
배깥통시,한뎃뒷간
배꺼마당,바깥마당
배껕벤소,한뎃뒷간
배껕사돈,바깥사돈
배껕양반,바깥양반
배꾸마당,바깥마당
배꼭다리,배의 꼭지
배꾸녁,배꼽
배꾸락지,배꼽
배꾸영,배꼽
배꾸중,배꼽
배납새미,줄납자루
배내이,배내
배내이세,배냇소
배다지,서랍
배따구,배때기
배아,배알
배물미,뱃멀미
배뚱구리,배추꼬랑이
배미,뱀
배럭벡,바람벽
배렁방,바람벽
배렁빠,바람벽
배렁빡,바람벽
배렁빵아,바람벽
배륵바닥,바람벽
배름벡,바람벽
배몰미,뱃멀미
배미딸,뱀딸기
배밍이,뱀
배불래기,뱁새
배뽕,생선의 뱃살로 뜬 회
배사람,뱃사람
버두,개머루
배살,뱃살
배선개,선가
배소리,뱃소리
배속,뱃속
배신,운동화
배쏙짓,배냇짓
배암자구,뱀장어
배애미,뱀
배앵이,뱀
배얌쟁이,뱀장어
배어,뱅어
배지통,배
배제,비지
배짜이,배
배쨍이,배짱
배차꽃,배추꽃
배차밭,배추밭
배찻값,배추의 가격
배차삼,배추쌈
배차시,배추의 씨
배차쏙,배추속대
배차알,배추속대
배창사,배창자
배티,배퉁이
배추알,배추속대
배추알배기,배추속대
배치,배추
배치기,배지기
배치기,물속으로 뛰어들 때 배 부딪침
배태이,대장장이
배투이,배퉁이
배팅이,배퉁이
백,벽
백고이,고니
백구천장,백공천창
백새,백사
백시리떡,백설기
백야시,백여우
백여시,백여우
백짐,백설기
백필탕,백비탕
백하점,백화점
밴딩이,밴댕이
밴벵도리,반병두리
밴지래기,바지락
뱀대가리,가오리연
뱀짱애,뱀장어
뱀이딸,뱀딸기
뱀자이,뱀장어
뱀장애,뱀장어
뱁초,배추
뱃구넉,배꼽
뱃구늉,배꼽
뱃구먹,배꼽
뱃구뭉시계,배꼽시계
뱃넘,뱃놈
뱃둥거리,배추꼬랑이
뱃둥구리,배추꼬랑이
뱃속짓,배냇짓
뱃속질,배냇짓
뱃자루,빗자루
뱃자리,빗자루
뱅공이,팽이
버둥개,버둥질
뱅암,뱀
뱅애,뱅어
뱅에,뱅어
뱅울,방울
뱅치,뱅어
버개호지,베갯잇
버거리,바구미
버그리,바구미
버그미,바구니
버금지,바구니
버기미,버캐
버꺼재이,대머리
버꺼지,대머리
버껌,거품
버꾸,장승
버꿈,거품
버꿈,버캐
버끄지이,대머리
버끔,거품
버끔내이,겨끔내기
버덜낭개,버드나무
버덜낭구,버드나무
버들강새이,버들강아지
버들강생이,버들개지
버들개비,버들개지
버들나무,버드나무
버들나무가지,버들가지
버들나무이파리,버들잎
버들낭구,버드나무
버디,머루
번덕,버덩
버랭이,버르장이
버럼,비름
버럿댕이,버르장이
버럿쟁이,버르장이
버르다구,버르장이
버르대기,버르장이
버르자구,버르장이
버르장아,버르장이
버르재이,버르장이
버르정머리,버르장머리
버르지이,버르장이
버르징이,버르장이
버름,비름
버릇대기,버르장이
버릇대이,버르장이
버릇뒹이,버르장이
버리,벌
버리장구,버르장이
버리지,버릇
버릿제,보릿겨
버부리,벙어리
버부리장갑,벙어리장갑
버석,버섯
버섬,버섯
버섭,버섯
버세,멍청이
버순,버선
버습,보습
버슴,버짐
버슴,버섯
버신,버선
버심,버짐
버이개,번개
버점약,버짐약
버젓,버릇
버즘,버짐
요랑,요량
버지,비지
버지기,되는대로 사는 사람
버쿰,거품
버털,풍채
벅수,멍청이
벅시,바보
번네,번뇌
번대,뻔뻔이
번디,번데기
번딕,버덩
번때기,번데기
번소,변소
번젱이,갈치
벌거이,벌레
벌거니,벌레
벌거시,벌레
벌겅소,털의 빛깔이 붉은 소
벌겅이,벌레
벌게,벌레
벌겡이,벌레
벌기이,벌레
벌깅이,벌레
벌눈,개씨바리
벌등가지,버르장이
벨실,별실
벌레이,벌레
벌말,거짓말
벌범,표범
벌창,벌충
벌춤,벌침
벌치,지각망나니
범나부,범나비
범도다리,강도다리
범아주까리,아주까리
범제,범죄
벙캐,덜렁거리는 사람
법딍이,벙어리
법버,벙어리
법보,벙어리
법자매미,벙어리매미
벗거지,대머리
벗거징이,대머리
벗보,벙어리
벙에,붕어
벹,볕
베,벼
벳,볕
베가리,낟가리
베개찝,베갯속
베개호창,베갯잇
베개호청,베갯잇
베개호치,베갯잇
베개호칭,베갯잇
베갯소,베갯속
